VE_REF freq
DEN120 0.25
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN121 0.12
DEN122 0.33
DEN122 0.33
DEN122 0.33
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN123 0.06
DEN124 0.5
DEN124 0.5
DEN125 0.17
DEN125 0.17
DEN125 0.17
DEN125 0.17
DEN125 0.17
DEN125 0.17
DEN126 0.25
DEN126 0.25
DEN126 0.25
DEN126 0.25
DEN127 1
DEN128 0.5
DEN128 0.5
DEN129 0.17
DEN129 0.17
DEN129 0.17
DEN129 0.17
DEN129 0.17
DEN129 0.17
DEN130 0.2
DEN130 0.2
DEN130 0.2
DEN130 0.2
DEN130 0.2
DEN131 0.14
DEN131 0.14
DEN131 0.14
DEN131 0.14
DEN131 0.14
DEN131 0.14
DEN131 0.14
DEN132 0.2
DEN132 0.2
DEN132 0.2
DEN132 0.2
DEN132 0.2
DEN133 0.17
DEN133 0.17
DEN133 0.17
DEN133 0.17
DEN133 0.17
DEN133 0.17
DEN134 1
DEN135 1
GER0 0.17
GER0 0.17
GER0 0.17
GER0 0.17
GER0 0.17
GER0 0.17
GER1 0.33
GER1 0.33
GER1 0.33
GER2 0.33
GER2 0.33
GER2 0.33
GER3 0.33
GER3 0.33
GER3 0.33
GER4 1
GER5 0.14
GER5 0.14
GER5 0.14
GER5 0.14
GER5 0.14
GER5 0.14
GER5 0.14
GER6 0.5
GER6 0.5
GER7 1
GER8 0.14
GER8 0.14
GER8 0.14
GER8 0.14
GER8 0.14
GER8 0.14
GER8 0.14
GER9 1
GER10 0.33
GER10 0.33
GER10 0.33
GER11 0.33
GER11 0.33
GER11 0.33
GER12 0.5
GER12 0.5
GER13 0.33
GER13 0.33
GER13 0.33
GER14 0.33
GER14 0.33
GER14 0.33
GER15 0.5
GER15 0.5
GER16 0.33
GER16 0.33
GER16 0.33
GER17 0.33
GER17 0.33
GER17 0.33
GER18 1
GER19 1
GER20 0.33
GER20 0.33
GER20 0.33
GER21 0.5
GER21 0.5
GER22 0.33
GER22 0.33
GER22 0.33
GER23 0.33
GER23 0.33
GER23 0.33
GER24 1
GER25 0.33
GER25 0.33
GER25 0.33
GER26 0.33
GER26 0.33
GER26 0.33
GER27 1
GER28 1
GER29 1
GER30 0.2
GER30 0.2
GER30 0.2
GER30 0.2
GER30 0.2
GER31 0.33
GER31 0.33
GER31 0.33
GER33 0.2
GER33 0.2
GER33 0.2
GER33 0.2
GER33 0.2
GER34 0.17
GER34 0.17
GER34 0.17
GER34 0.17
GER34 0.17
GER34 0.17
GER35 1
GER38 0.5
GER38 0.5
GER39 1
GER40 0.17
GER40 0.17
GER40 0.17
GER40 0.17
GER40 0.17
GER40 0.17
GER41 0.5
GER41 0.5
GER42 0.5
GER42 0.5
GER43 0.2
GER43 0.2
GER43 0.2
GER43 0.2
GER43 0.2
GER44 0.17
GER44 0.17
GER44 0.17
GER44 0.17
GER44 0.17
GER44 0.17
GER45 0.17
GER45 0.17
GER45 0.17
GER45 0.17
GER45 0.17
GER45 0.17
GER46 0.14
GER46 0.14
GER46 0.14
GER46 0.14
GER46 0.14
GER46 0.14
GER46 0.14
GER47 0.33
GER47 0.33
GER47 0.33
GER48 0.1
GER48 0.1
GER48 0.1
GER48 0.1
GER48 0.1
GER48 0.1
GER48 0.1
GER48 0.1
GER48 0.1
GER48 0.1
GER49 0.17
GER49 0.17
GER49 0.17
GER49 0.17
GER49 0.17
GER49 0.17
SWN0 1
SWN11 0.5
SWN11 0.5
SWN22 0.25
SWN22 0.25
SWN22 0.25
SWN22 0.25
SWN33 0.33
SWN33 0.33
SWN33 0.33
SWN44 0.14
SWN44 0.14
SWN44 0.14
SWN44 0.14
SWN44 0.14
SWN44 0.14
SWN44 0.14
SWN46 1
SWN47 0.5
SWN47 0.5
SWN48 1
SWN49 0.5
SWN49 0.5
SWN3 0.5
SWN3 0.5
SWN5 0.5
SWN5 0.5
SWN6 0.33
SWN6 0.33
SWN6 0.33
SWN8 0.25
SWN8 0.25
SWN8 0.25
SWN8 0.25
SWN12 0.2
SWN12 0.2
SWN12 0.2
SWN12 0.2
SWN12 0.2
SWN14 1
SWN16 1
SWN17 0.33
SWN17 0.33
SWN17 0.33
SWN18 1
SWN19 0.33
SWN19 0.33
SWN19 0.33
SWN20 0.33
SWN20 0.33
SWN20 0.33
SWN21 0.33
SWN21 0.33
SWN21 0.33
SWN23 1
SWN25 0.2
SWN25 0.2
SWN25 0.2
SWN25 0.2
SWN25 0.2
SWN26 0.5
SWN26 0.5
SWN27 0.5
SWN27 0.5
SWN28 1
SWN29 1
SWN30 0.25
SWN30 0.25
SWN30 0.25
SWN30 0.25
SWN31 1
SWN32 0.33
SWN32 0.33
SWN32 0.33
SWN34 0.33
SWN34 0.33
SWN34 0.33
SWN35 1
SWN37 1
SWN38 0.25
SWN38 0.25
SWN38 0.25
SWN38 0.25
SWN39 1
SWN40 1
SWN42 0.5
SWN42 0.5
SWN43 1
SWN45 0.25
SWN45 0.25
SWN45 0.25
SWN45 0.25
