stock  init_M_per_szgroup
27 0.0872
27 0.0769
27 0.0687
27 0.0621
27 0.0567
27 0.0521
27 0.0483
28 0.9985
28 0.4452
28 0.2655
28 0.1886
28 0.1462
28 0.1193
28 0.1008
28 0.0872
28 0.0769
28 0.0687
28 0.0621
28 0.0567
28 0.0521
28 0.0483
29 0.9985
29 0.4452
29 0.2655
29 0.1886
29 0.1462
29 0.1193
29 0.1008
29 0.0872
29 0.0769
29 0.0687
29 0.0621
29 0.0567
29 0.0521
29 0.0483
30 0.9985
30 0.4452
30 0.2655
30 0.1886
30 0.1462
30 0.1193
30 0.1008
30 0.0872
30 0.0769
30 0.0687
30 0.0621
30 0.0567
30 0.0521
30 0.0483
